our_rank,name,position,team,gsis_id,adp,adp_rank,ecr_rank,mkt_val,mkt_rank,log_rank,vs_adp,vs_adp_log,vs_adp_pct,vs_adp_clip,score_log_pts,pred_vorp,pos_rank,delta,anchor_rank,scarcity_gain,feature_gain,age_c,age_c2,age_rb,age_qb,games_missed,rookie_pedigree,td_share_c,team_change,has_prior,draft_ovr_log,vacated_target_share,vacated_carry_share,arriving_vet_usage,draft_competition,qb_change,qb_quality_delta,qb_rookie,qb_expected_missing,coach_change,team_fp_prior,team_fp_prior_z,team_pass_fp_share_prior,team_pass_rate_prior,returning_target_competition,returning_carry_competition,depth_rank_adp,is_rookie,qb_delta_wrte,vacated_tgt_wrte,vacated_carry_rb,opp_target_share,opp_air_yards_share,opp_ts_slope,opp_ts_l4f4,opp_cs_l6_delta,opp_fp_oe_pg,opp_td_per_opp_vs_pos,opp_boom_rate,ppg_delta,career_missed_rate,inj_weeks_listed_l2y,inj_soft_tissue_l2y,inj_recurrence,apy_cap_pct,contract_year,rookie_deal_yr,draft_r1,draft_r23,rb_early_rookie,yrs_since_peak,last_was_career_best,c_age_c,c_age_c2,c_age_rb,c_age_qb,c_games_missed,c_rookie_pedigree,c_td_share_c,c_team_change,c_has_prior,c_draft_ovr_log,c_vs_adp,c_vacated_target_share,c_vacated_carry_share,c_arriving_vet_usage,c_draft_competition,c_qb_change,c_qb_quality_delta,c_qb_rookie,c_qb_expected_missing,c_coach_change,c_team_fp_prior,c_team_fp_prior_z,c_team_pass_fp_share_prior,c_team_pass_rate_prior,c_returning_target_competition,c_returning_carry_competition,c_depth_rank_adp,c_is_rookie,c_qb_delta_wrte,c_vacated_tgt_wrte,c_vacated_carry_rb,c_opp_target_share,c_opp_air_yards_share,c_opp_ts_slope,c_opp_ts_l4f4,c_opp_cs_l6_delta,c_opp_fp_oe_pg,c_opp_td_per_opp_vs_pos,c_opp_boom_rate,c_ppg_delta,c_career_missed_rate,c_inj_weeks_listed_l2y,c_inj_soft_tissue_l2y,c_inj_recurrence,c_apy_cap_pct,c_contract_year,c_rookie_deal_yr,c_draft_r1,c_draft_r23,c_rb_early_rookie,c_yrs_since_peak,c_last_was_career_best,c_ppg_mismatch,raw_ppg_mismatch,_dummy,adp_gap_ahead,adp_gap_behind,age,birthdate,career_best_ppg,coach_pass_oe,coach_pass_shift,draft_ovr,draft_round,draft_year,expqb_rush_wrte,inj_recurrence_qb,inj_weeks_listed_l2y_qb,is_rk_draft,log_pts,ol_sack_rate_prior,ol_stuff_rate_prior,prev_games,prev_ppg,prev_td_share,prev_team,prop_mvp,prop_oroy,prop_pass_yds,prop_rec_yds,prop_rush_yds,qb_rush_ypg,rookie,rookie_log_pick,rookie_x_vacated,rz_ez_target_share,rz_gl_carry_share,rz_opp_pg,rz_target_share,rz_td_minus_expected,season,snap_share,snap_share_l4f4,snap_share_max4,sos_dvp,sos_dvp_first4,tgt_pts,vegas_wins_c,vegas_wins_delta,vs_adp_off,yrs_exp
52,Malik Nabers,WR,NYG,00-0039337,43.500000,44,40,3.688879,40,3.688879,-0.076961,-0.095310,-0.021622,-0.095310,5.052501,30.805833,25,-8,43,1,-9,-2.903491,8.430259,-0.000000,-0.000000,13.000000,0.000000,0.061691,0.000000,1.000000,1.791759,0.357002,0.043053,0.339303,0.160544,0.000000,0.000000,0.000000,0.000000,1.000000,1389.820000,-0.095566,0.591587,0.498035,0.226824,0.000000,1.000000,0.000000,0.000000,0.357002,0.000000,0.270833,0.487069,0.000000,0.000000,0.000000,-8.562500,0.008720,0.250000,-3.965000,0.441176,18.000000,1.000000,0.000000,0.029000,0.000000,3.000000,1.000000,0.000000,0.000000,1.000000,0.000000,-0.002614,0.000260,0.000164,0.000502,-0.048752,-0.001404,-0.003720,-0.000691,0.007180,-0.005289,-0.000559,0.000175,0.000543,-0.008901,-0.010614,-0.000920,-0.000085,0.000792,-0.000773,0.007096,-0.000389,0.001761,-0.007393,0.007350,-0.000154,-0.002214,0.002358,-0.002888,0.000007,-0.000365,0.001256,0.005854,0.001344,-0.000346,0.000657,-0.000406,-0.011805,0.001161,-0.006798,-0.000441,-0.025086,-0.000135,0.000281,0.001175,-0.000386,-0.000055,0.008142,0.000412,-0.002206,-0.000454,-0.000988,-0.006989,0.000438,4.117054,true,0.000000,4.615121,23.096509,2003-07-28,18.240000,-0.038264,-0.004484,6,1,2024,34.785714,0.000000,0.000000,false,0.000000,0.011476,-0.031517,4.000000,14.275000,0.210158,NYG,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133333,0.000000,1.000000,0.058824,0.213270,2026,0.795000,0.000000,0.795000,1.086040,3.459154,0.000000,0.000000,0.000000,-0.076961,2.000000
53,Caleb Williams,QB,CHI,00-0039918,108.000000,112,66,4.189655,66,4.189655,-0.473288,-0.528844,-0.248649,-0.528844,5.538503,30.362500,6,59,124,-12,71,-1.214237,1.474371,-0.000000,-1.214237,0.000000,0.000000,-0.011441,0.000000,1.000000,0.000000,0.302632,0.039604,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1519.840000,0.578497,0.592891,0.513018,0.000000,0.003960,1.000000,0.000000,0.000000,0.000000,0.000000,0.003460,-0.000674,-0.000097,0.000000,-0.037478,15.834706,0.001688,0.411765,3.743529,0.000000,0.000000,0.000000,0.000000,0.039000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,1.000000,-0.001379,0.000620,0.000164,0.001836,0.010135,-0.001404,0.000690,-0.000691,0.007180,-0.010188,-0.002938,0.000065,0.000551,0.002515,0.010326,-0.000920,-0.000085,0.000792,-0.000773,-0.001733,0.001226,-0.003011,-0.007196,0.005336,0.000317,-0.002148,0.002358,-0.002888,0.000007,0.000220,0.001256,-0.004354,-0.000423,-0.000521,0.000657,-0.004347,0.019060,-0.000459,-0.022117,0.000334,0.013297,0.000047,-0.000705,0.001175,-0.000140,-0.000055,0.008142,0.000412,-0.002206,-0.000454,-0.004409,0.009665,0.000473,4.163861,true,0.000000,4.615121,24.785763,2001-11-18,18.716471,-0.018797,0.000000,1,1,2024,0.000000,0.000000,0.000000,false,0.000000,-0.027812,-0.027593,17.000000,18.716471,0.414860,CHI,0.000000,0.000000,0.000000,0.000000,0.000000,22.529412,0.000000,0.000000,0.000000,0.022727,0.071429,0.470588,0.014085,1.198919,2026,0.990588,0.040000,1.000000,-0.854098,-1.447022,0.000000,0.000000,0.000000,-0.473288,2.000000
54,Tyler Warren,TE,IND,00-0040128,54.200000,54,53,3.970292,53,3.970292,-0.015748,-0.018692,-0.005405,-0.018692,5.031665,28.681250,4,0,54,0,0,-1.726215,2.979818,-0.000000,-0.000000,0.000000,0.000000,-0.027234,0.000000,1.000000,2.639057,0.254864,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1488.400000,0.415502,0.600847,0.537657,0.052529,0.000000,1.000000,0.000000,0.000000,0.254864,0.000000,0.214844,0.149417,-0.000591,-0.003590,-0.000074,-1.484706,-0.015456,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.019000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,-0.001754,0.000542,0.000164,0.000502,0.010135,-0.001404,0.001642,-0.000691,0.007180,-0.002973,-0.000191,-0.000031,0.000507,0.002515,0.010326,-0.000920,-0.000085,0.000792,-0.000773,-0.001733,0.000836,-0.001857,-0.005993,0.002024,0.000208,-0.002214,0.002358,-0.002888,0.000007,-0.000198,0.001256,0.003717,0.000121,-0.001412,0.001337,-0.000414,-0.002851,-0.004409,0.016877,-0.000042,0.013297,0.000027,-0.000705,0.001175,-0.000633,-0.000055,0.004007,0.000412,-0.002206,-0.000454,-0.004409,0.009665,-0.000732,2.573539,true,0.000000,4.615121,24.273785,2002-05-24,11.088235,-0.015208,0.000000,14,1,2025,12.615385,0.000000,0.000000,false,0.000000,-0.017145,-0.020534,17.000000,11.088235,0.159151,IND,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.178571,0.083333,1.588235,0.277108,-3.758413,2026,0.838235,0.037500,0.917500,0.200872,-0.731949,0.000000,0.000000,0.000000,-0.015748,1.000000
55,TreVeyon Henderson,RB,NE,00-0040734,57.800000,59,61,4.110874,61,4.110874,0.028573,0.033336,0.010811,0.033336,4.838821,21.637083,20,4,72,-13,17,-2.139630,4.578018,-2.139630,-0.000000,0.000000,0.000000,0.066847,0.000000,1.000000,3.637586,0.271784,0.098990,0.003656,0.125905,0.000000,0.000000,0.000000,0.000000,0.000000,1640.360000,1.203308,0.605294,0.493347,0.082988,0.309091,1.000000,0.000000,0.000000,0.000000,0.098990,0.083926,-0.000393,-0.003366,-0.065274,0.076530,2.074706,0.012536,0.176471,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.000000,2.000000,0.000000,1.000000,0.000000,0.000000,1.000000,-0.002056,0.000459,-0.003605,0.000502,0.010135,-0.001404,-0.004031,-0.000691,0.007180,-0.000243,0.000075,0.000003,0.000417,0.002392,-0.006096,-0.000920,-0.000085,0.000792,-0.000773,-0.001733,0.002723,-0.007434,-0.005320,0.007980,0.000145,0.003005,0.002358,-0.002888,0.000007,0.000220,0.000039,-0.001281,-0.000422,-0.006411,0.013013,0.007642,0.001652,0.002040,0.000165,-0.000042,0.013297,0.000047,-0.000705,0.001175,-0.000855,-0.000055,0.004007,-0.000208,0.003513,-0.000454,-0.004409,0.009665,0.001165,5.076498,true,0.000000,2.564949,23.860370,2002-10-22,12.129412,-0.061853,0.000000,38,2,2025,0.000000,0.000000,0.000000,false,0.000000,0.013224,0.011405,17.000000,12.129412,0.290980,NE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.275862,1.470588,0.060606,1.904483,2026,0.458824,0.040000,0.780000,-0.256522,-1.913529,0.000000,0.000000,0.000000,0.028573,1.000000
56,Jameson Williams,WR,DET,00-0037240,48.700000,51,52,3.951244,52,3.951244,0.016261,0.019418,0.005405,0.019418,5.021624,13.886250,27,-5,52,-1,-4,-0.565366,0.319639,-0.000000,-0.000000,0.000000,0.000000,0.042530,0.000000,1.000000,2.484907,0.145455,0.377828,0.072621,0.135119,0.000000,0.000000,0.000000,0.000000,0.000000,1691.480000,1.468330,0.627084,0.554435,0.369091,0.009050,2.000000,0.000000,0.000000,0.145455,0.000000,0.186200,0.321235,0.004344,0.013021,-0.000789,-1.584118,0.016392,0.176471,-1.211373,0.264706,3.000000,0.000000,0.000000,0.096000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,-0.000905,0.000679,0.000164,0.000502,0.010135,-0.001404,-0.002565,-0.000691,0.007180,-0.003394,0.000001,-0.000252,-0.000212,0.000072,-0.007298,-0.000920,-0.000085,0.000792,-0.000773,-0.001733,0.003358,-0.009310,-0.002026,-0.000231,-0.000449,-0.002062,-0.002680,-0.002888,0.000007,-0.000018,0.001256,0.002623,0.000743,0.007481,-0.001807,-0.000489,-0.002977,0.002928,0.000165,-0.000164,-0.009733,0.000017,-0.000705,0.001175,0.001266,-0.000055,-0.004263,0.000412,-0.002206,-0.000454,-0.000988,-0.006989,0.000203,3.806955,true,3.806662,4.615121,25.434634,2001-03-26,14.146667,-0.002782,0.000000,12,1,2022,2.647059,0.000000,0.000000,false,0.000000,-0.002579,0.011535,17.000000,12.935294,0.190996,DET,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133333,0.000000,0.588235,0.100000,3.302748,2026,0.901765,0.007500,0.960000,-0.393614,-2.940846,0.000000,0.000000,0.000000,0.016261,4.000000
57,Rome Odunze,WR,CHI,00-0039919,54.200000,55,59,4.077537,59,4.077537,0.059719,0.070204,0.021622,0.070204,4.964321,13.886250,30,-2,57,-2,0,-1.753593,3.075090,-0.000000,-0.000000,5.000000,0.000000,0.097940,0.000000,1.000000,2.197225,0.302632,0.039604,0.080093,0.154039,0.000000,0.000000,0.000000,0.000000,0.000000,1519.840000,0.578497,0.592891,0.513018,0.131579,0.011881,2.000000,0.000000,0.000000,0.302632,0.000000,0.236349,0.373639,-0.004441,-0.022674,0.000000,-6.378333,0.018244,0.166667,3.651471,0.147059,6.000000,0.000000,0.000000,0.022000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,1.000000,-0.001774,0.000537,0.000164,0.000502,-0.012514,-0.001404,-0.005906,-0.000691,0.007180,-0.004181,0.000261,0.000065,0.000551,-0.000180,-0.009766,-0.000920,-0.000085,0.000792,-0.000773,-0.001733,0.001226,-0.003011,-0.007196,0.005336,0.000044,-0.002014,-0.002680,-0.002888,0.000007,-0.000276,0.001256,0.004538,0.000933,-0.008349,0.004949,-0.000406,-0.009042,0.003355,0.001094,0.000324,0.000503,-0.000013,-0.000705,0.001175,-0.000559,-0.000055,0.008142,0.000412,-0.002206,-0.000454,-0.004409,0.009665,0.000004,3.544374,true,2.302585,4.615121,24.246407,2002-06-03,12.175000,-0.018797,0.000000,9,1,2024,22.529412,0.000000,0.000000,false,0.000000,-0.027812,-0.027593,12.000000,12.175000,0.246407,CHI,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,1.083333,0.183099,1.292714,2026,0.880833,-0.120000,0.977500,-1.291399,-3.948199,0.000000,0.000000,0.000000,0.059719,2.000000
58,Christian Watson,WR,GB,00-0038124,60.500000,63,58,4.060443,58,4.060443,-0.070952,-0.082692,-0.027027,-0.082692,4.983526,13.886250,28,5,60,3,2,1.307324,1.709095,0.000000,0.000000,7.000000,0.000000,0.123437,0.000000,1.000000,3.526361,0.369565,0.310976,0.012915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1420.000000,0.060896,0.611620,0.483193,0.169565,0.048780,1.000000,0.000000,0.000000,0.369565,0.000000,0.203075,0.359594,0.012746,0.063255,0.002222,-1.909000,0.058720,0.300000,5.718571,0.308824,13.000000,0.000000,1.000000,0.076000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000464,0.000607,0.000164,0.000502,-0.021573,-0.001404,-0.007443,-0.000691,0.007180,-0.000547,-0.000523,0.000200,-0.000062,0.002081,0.010326,-0.000920,-0.000085,0.000792,-0.000773,-0.001733,-0.000014,0.000653,-0.004364,0.009345,-0.000035,-0.001391,0.002358,-0.002888,0.000007,-0.000386,0.001256,0.003267,0.000882,0.022621,-0.011316,-0.000172,-0.003388,0.012680,-0.011533,0.000532,-0.013571,-0.000084,-0.000705,-0.015322,0.000773,-0.000055,-0.004263,-0.000208,0.003513,-0.000454,-0.004409,0.009665,0.000760,4.542097,true,0.000000,3.135494,27.307324,1999-05-12,13.240000,-0.015640,0.000000,34,2,2022,13.266667,0.000000,0.000000,false,0.000000,-0.012732,-0.019027,10.000000,13.240000,0.271903,GB,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.600000,0.086957,3.444392,2026,0.677000,-0.085000,0.792500,-0.026347,-0.942316,0.000000,0.000000,0.000000,-0.070952,4.000000
59,Carnell Tate,WR,TEN,TAT143045,62.100000,64,64,4.158883,64,4.158883,0.000000,0.000000,0.000000,0.000000,4.975112,13.886250,29,5,61,3,2,-4.384668,19.225314,-0.000000,-0.000000,0.000000,0.985185,-0.148466,0.000000,0.000000,1.386294,0.280943,0.000000,0.276134,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1115.640000,-1.516997,0.660697,0.573844,0.414538,0.029101,1.000000,1.000000,0.000000,0.280943,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-0.003697,-0.000297,0.000164,0.000502,0.010135,0.013690,0.008953,-0.000691,-0.052461,-0.006398,-0.000097,0.000021,0.000640,-0.006776,0.010326,-0.000920,-0.000085,0.000792,-0.000773,0.007096,-0.003794,0.011823,0.003057,-0.002840,-0.000543,-0.001723,0.002358,0.025501,0.000007,-0.000240,0.001256,-0.004486,-0.000420,-0.000346,0.000657,-0.000406,-0.000973,-0.000848,0.016877,-0.000042,0.013297,0.000047,-0.000705,0.001175,-0.001102,-0.000055,-0.004263,0.000412,-0.002206,-0.000454,-0.004409,-0.006989,-0.002682,-0.000000,false,0.000000,3.332205,21.615332,2005-01-19,0.000000,0.058196,0.016166,4,1,2026,9.352941,0.000000,0.000000,true,0.000000,0.021608,-0.008104,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,4.215824,0.276781,0.000000,0.000000,0.000000,0.000000,0.000000,2026,0.000000,0.000000,0.000000,1.243756,0.823860,0.000000,0.000000,0.000000,0.000000,0.000000
60,DJ Moore,WR,BUF,00-0034827,64.900000,67,51,3.931826,51,3.931826,-0.232932,-0.272867,-0.086486,-0.272867,5.049984,13.886250,26,7,64,3,4,3.382615,11.442082,0.000000,0.000000,0.000000,0.000000,0.118696,1.000000,1.000000,3.178054,0.162698,0.031079,0.008052,0.143322,0.000000,0.000000,0.000000,0.000000,0.000000,1656.240000,1.285635,0.574554,0.479543,0.426587,0.001828,1.000000,0.000000,0.000000,0.162698,0.000000,0.161340,0.215365,-0.001493,-0.003440,-0.020471,-1.969412,0.021577,0.235294,-3.877647,0.015038,2.000000,1.000000,0.000000,0.108000,0.000000,0.000000,1.000000,0.000000,0.000000,2.000000,0.000000,0.001981,0.000105,0.000164,0.000502,0.010135,-0.001404,-0.007158,0.003267,0.007180,-0.001500,-0.001495,-0.000218,0.000570,0.002244,-0.008368,-0.000920,-0.000085,0.000792,-0.000773,-0.001733,0.002920,-0.008017,-0.009968,0.009835,-0.000568,-0.002184,0.002358,-0.002888,0.000007,-0.000047,0.001256,0.001674,0.000360,-0.003037,0.001309,-0.002558,-0.003464,0.004123,-0.005405,-0.000432,0.011989,0.000027,0.000281,0.001175,0.001562,-0.000055,-0.004263,0.000412,-0.002206,-0.000454,0.002433,-0.006989,-0.001983,0.923320,true,0.000000,3.688879,29.382615,1997-04-14,16.852941,-0.024587,0.000000,24,1,2018,36.187500,0.000000,0.000000,false,0.000000,0.002375,-0.044101,17.000000,10.128235,0.267162,CHI,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.295455,0.000000,0.705882,0.154930,2.387528,2026,0.848235,0.055000,0.930000,-0.521849,-1.191728,0.000000,0.000000,0.000000,-0.232932,8.000000
61,Marvin Harrison Jr.,WR,ARI,00-0039849,64.700000,66,65,4.174387,65,4.174387,-0.013245,-0.015267,-0.005405,-0.015267,4.924586,13.569167,31,5,63,3,2,-1.942505,3.773326,-0.000000,-0.000000,5.000000,0.000000,0.039327,0.000000,1.000000,1.386294,0.214171,0.471233,0.107184,0.139471,0.000000,0.000000,0.000000,1.000000,0.000000,1509.960000,0.527276,0.689753,0.629817,0.233494,0.000000,1.000000,0.000000,0.000000,0.214171,0.000000,0.180546,0.338355,-0.005878,-0.059858,0.000000,-3.993333,0.006372,0.083333,-0.908824,0.147059,8.000000,0.000000,0.000000,0.035000,0.000000,3.000000,1.000000,0.000000,0.000000,1.000000,0.000000,-0.001912,0.000501,0.000164,0.000502,-0.012514,-0.001404,-0.002371,-0.000691,0.007180,-0.006398,-0.000176,-0.000114,-0.000423,-0.001091,-0.007866,-0.000920,-0.000085,0.000792,0.003611,-0.001733,0.001103,-0.002649,0.007451,-0.010364,-0.000168,-0.002214,0.002358,-0.002888,0.000007,-0.000131,0.001256,0.002407,0.000805,-0.010938,0.011988,-0.000406,-0.006024,0.000620,0.008985,-0.000134,0.000503,-0.000034,-0.000705,0.001175,-0.000238,-0.000055,0.008142,0.000412,-0.002206,-0.000454,-0.000988,-0.006989,-0.000864,2.399424,true,0.000000,2.890372,24.057495,2002-08-11,11.558824,0.026810,0.000000,4,1,2024,0.000000,0.000000,0.000000,false,0.000000,0.013798,0.025602,12.000000,10.650000,0.187793,ARI,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.270833,0.000000,0.916667,0.104762,-0.029278,2026,0.712500,-0.315000,0.932500,0.072961,-0.850846,0.000000,0.000000,0.000000,-0.013245,2.000000
62,Harold Fannin Jr.,TE,CLE,00-0040663,69.100000,69,71,4.262680,71,4.262680,0.025001,0.028573,0.010811,0.028573,4.923067,12.693750,5,7,62,7,0,-3.883641,15.082670,-0.000000,-0.000000,1.000000,0.000000,0.038937,0.000000,1.000000,4.204693,0.179048,0.081340,0.023109,0.134810,0.000000,0.000000,0.000000,1.000000,1.000000,1082.480000,-1.688909,0.683153,0.556734,0.020952,0.000000,1.000000,0.000000,0.000000,0.179048,0.000000,0.218434,0.201867,0.006943,0.104086,0.008264,-1.470000,0.003575,0.062500,0.000000,0.058824,3.000000,3.000000,0.000000,0.006000,0.000000,2.000000,0.000000,1.000000,0.000000,0.000000,1.000000,-0.003331,-0.000083,0.000164,0.000502,0.005605,-0.001404,-0.002348,-0.000691,0.007180,0.001307,0.000053,-0.000185,0.000457,0.001738,-0.007258,-0.000920,-0.000085,0.000792,0.003611,0.007096,-0.004206,0.013040,0.006453,-0.000540,0.000273,-0.002214,0.002358,-0.002888,0.000007,-0.000073,0.001256,0.003854,0.000311,0.012165,-0.019045,0.000463,-0.002832,-0.000025,0.010958,-0.000042,0.008179,0.000017,0.002253,0.001175,-0.000954,-0.000055,0.004007,-0.000208,0.003513,-0.000454,-0.004409,0.009665,0.000391,4.055885,true,0.000000,4.615121,22.116359,2004-07-20,11.650000,0.000000,0.000000,67,3,2025,0.000000,0.000000,0.000000,false,0.000000,0.014484,0.038544,16.000000,11.650000,0.225322,CLE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,0.041667,0.750000,0.192982,2.380872,2026,0.759375,0.027500,0.920000,0.984678,1.970993,0.000000,0.000000,0.000000,0.025001,1.000000
63,DK Metcalf,WR,PIT,00-0035640,56.800000,58,72,4.276666,72,4.276666,0.187212,0.216223,0.075676,0.216223,4.923173,12.051667,32,-5,58,0,-5,2.714579,7.368939,0.000000,0.000000,2.000000,0.000000,0.075893,0.000000,1.000000,4.158883,0.503650,0.339066,0.215953,0.179052,0.000000,0.000000,0.000000,1.000000,1.000000,1405.980000,-0.011788,0.645173,0.573822,0.049270,0.000000,1.000000,0.000000,0.000000,0.503650,0.000000,0.224114,0.383731,0.001708,0.023711,0.005556,-2.372000,0.020884,0.133333,-0.266667,0.042735,4.000000,0.000000,0.000000,0.118000,0.000000,0.000000,0.000000,1.000000,0.000000,5.000000,0.000000,0.001493,0.000315,0.000164,0.000502,0.001075,-0.001404,-0.004576,-0.000691,0.007180,0.001182,0.001027,0.000471,-0.000125,-0.004751,-0.013028,-0.000920,-0.000085,0.000792,0.003611,0.007096,-0.000188,0.001168,0.000710,-0.002837,0.000215,-0.002214,0.002358,-0.002888,0.000007,-0.000605,0.001256,0.004071,0.000969,0.002731,-0.003831,0.000178,-0.003973,0.003963,0.004251,-0.000069,0.009579,0.000007,-0.000705,0.001175,0.001809,-0.000055,-0.004263,-0.000208,0.003513,-0.000454,0.012696,-0.006989,0.000825,4.627746,true,0.000000,2.564949,28.714579,1997-12-14,17.081250,0.018398,-0.023609,64,2,2019,0.000000,0.000000,0.000000,false,0.000000,-0.012890,-0.002149,15.000000,12.480000,0.224359,PIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.294118,0.000000,0.933333,0.166667,1.743965,2026,0.872667,-0.042500,0.947500,-0.919358,-1.980846,0.000000,0.000000,0.000000,0.187212,7.000000
64,Alec Pierce,WR,IND,00-0037664,59.700000,61,74,4.304065,74,4.304065,0.168137,0.193191,0.070270,0.193191,4.885531,12.051667,34,-3,59,2,-5,0.332649,0.110655,0.000000,0.000000,2.000000,0.000000,0.047933,0.000000,1.000000,3.970292,0.254864,0.058824,0.043290,0.125088,0.000000,0.000000,0.000000,0.000000,0.000000,1488.400000,0.415502,0.600847,0.537657,0.196498,0.011312,1.000000,0.000000,0.000000,0.254864,0.000000,0.176019,0.415170,-0.001024,-0.013547,0.000000,-3.614000,0.023006,0.133333,2.132500,0.058824,5.000000,0.000000,1.000000,0.095000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,-0.000248,0.000690,0.000164,0.000502,0.001075,-0.001404,-0.002890,-0.000691,0.007180,0.000666,0.000912,-0.000031,0.000507,0.001059,-0.005990,-0.000920,-0.000085,0.000792,-0.000773,-0.001733,0.000836,-0.001857,-0.005993,0.002024,-0.000091,-0.002023,0.002358,-0.002888,0.000007,-0.000198,0.001256,0.002234,0.001083,-0.002192,0.003222,-0.000406,-0.005545,0.004452,0.004251,0.000172,0.008179,-0.000003,-0.000705,-0.015322,0.001242,-0.000055,-0.004263,-0.000208,0.003513,-0.000454,-0.004409,0.009665,0.000708,4.473748,true,0.000000,3.332205,26.332649,2000-05-02,12.220000,-0.015208,0.000000,53,2,2022,12.615385,0.000000,0.000000,false,0.000000,-0.017145,-0.020534,15.000000,12.220000,0.196399,IND,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.357143,0.000000,0.600000,0.108434,2.763539,2026,0.859333,0.130000,0.972500,0.089016,0.238566,0.000000,0.000000,0.000000,0.168137,4.000000
65,Courtland Sutton,WR,DEN,00-0034348,72.100000,72,73,4.290459,73,4.290459,0.012121,0.013793,0.005405,0.013793,4.892869,12.051667,33,7,70,2,5,4.893908,23.950338,0.000000,0.000000,0.000000,0.000000,0.042704,0.000000,1.000000,3.688879,0.000000,0.000000,0.216450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1494.540000,0.447334,0.625945,0.564054,0.394915,0.037281,2.000000,0.000000,0.000000,0.000000,0.000000,0.210675,0.357198,0.000321,0.015834,0.000000,-4.367059,0.008029,0.176471,-2.095221,0.142857,0.000000,0.000000,0.000000,0.082000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.003086,-0.000541,0.000164,0.000502,0.010135,-0.001404,-0.002575,-0.000691,0.007180,-0.000103,-0.000024,-0.000546,0.000640,-0.004768,0.010326,-0.000920,-0.000085,0.000792,-0.000773,-0.001733,0.000912,-0.002083,-0.002198,-0.001524,-0.000502,-0.001585,-0.002680,-0.002888,0.000007,0.000220,0.001256,0.003558,0.000873,0.000232,-0.002340,-0.000406,-0.006497,0.001001,0.000165,-0.000253,0.000868,0.000047,-0.000705,0.001175,0.000921,-0.000055,-0.004263,-0.000208,0.003513,-0.000454,-0.000988,-0.006989,0.001201,5.124681,true,3.401197,4.615121,30.893908,1995-10-10,15.018750,0.013948,0.000000,40,2,2018,20.941176,0.000000,0.000000,false,0.000000,-0.031055,-0.002697,17.000000,12.923529,0.191170,DEN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.388889,0.000000,1.176471,0.224719,0.409895,2026,0.853529,0.007500,0.945000,-0.981711,-0.120257,0.000000,0.000000,0.000000,0.012121,8.000000
